"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","browser","scRes","window_resolution","focus","success","miniblock","nSteps","node","goalnode","choiceVar","total_reward"
"355","<p >Welcome to the experiment. Press any key to continue.</p>                <p style=""font-family:VideoGame;font-size:10%;"">.</p>","39","html-keyboard-response","0","357","0.0-0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","","",""
"355","<p style=""width:50%; margin-left:auto;margin-right:auto"">Before the start of the experiment, we would like to provide you with some information regarding ourselves and your own privacy. Please read the statements and tick the box if you agree and wish to continue. It is always an option to terminate the experiment when one or more things cause you concern.</p>","39","html-keyboard-response","1","714","0.0-1.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","","",""
"350","<p style=""width:50%; margin-left:auto;margin-right:auto"">For the experiment it is important that we set your browser to fullscreen mode. The next page will contain a button you can press to enter fullscreen. If you leave fullscreen during the experiment at any time, this will be recorded and unfortunately we will not be able to complete your payment if this has occurred. Additionally, be aware that the experiment only works for 16:9 aspect ratio monitors. If you do not have a monitor with this aspect ratio, please quit the experiment, as we will ultimately not be able to complete your payment.</p><p>Press any key to continue.</p>","39","html-keyboard-response","2","1065","0.0-2.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 955","true","","","","","","",""
"1596","img/Floppy.png","40","image-keyboard-response","29","39602","0.0-9.0-0.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","1","6","2","0","0"
"3150","img/Balloon.png","40","image-keyboard-response","30","42754","0.0-9.0-0.2","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","2","9","2","0","0"
"761","img/Soapdispenser.png","40","image-keyboard-response","31","43530","0.0-9.0-0.3","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","3","7","2","0","0"
"1012","img/Floppy.png","40","image-keyboard-response","32","44546","0.0-9.0-0.4","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","4","6","2","0","0"
"597","img/Balloon.png","40","image-keyboard-response","33","45144","0.0-9.0-0.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","5","9","2","0","0"
"737","img/Floppy.png","40","image-keyboard-response","34","45882","0.0-9.0-0.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","6","6","2","0","0"
"1078","img/Soapdispenser.png","40","image-keyboard-response","35","46969","0.0-9.0-0.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","7","7","2","0","0"
"691","img/Floppy.png","40","image-keyboard-response","36","47665","0.0-9.0-0.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","8","6","2","0","0"
"599","img/Soapdispenser.png","40","image-keyboard-response","37","48266","0.0-9.0-0.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","9","7","2","0","0"
"1001","img/Basket.png","40","image-keyboard-response","38","49298","0.0-9.0-0.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","10","8","2","0","0"
"949","img/Balloon.png","40","image-keyboard-response","39","50250","0.0-9.0-0.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","11","9","2","0","0"
"677","img/Floppy.png","40","image-keyboard-response","40","50930","0.0-9.0-0.12","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","12","6","2","0","0"
"900","img/Toiletpaper.png","40","image-keyboard-response","41","51834","0.0-9.0-0.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","13","5","2","0","0"
"917","img/Basket.png","39","image-keyboard-response","42","52754","0.0-9.0-0.14","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","14","8","2","1","0"
"1052","img/Soapdispenser.png","37","image-keyboard-response","43","53810","0.0-9.0-0.15","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","15","7","2","-1","0"
"846","img/Floppy.png","40","image-keyboard-response","44","54673","0.0-9.0-0.16","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","16","6","2","0","0"
"799","img/Soapdispenser.png","40","image-keyboard-response","45","55472","0.0-9.0-0.17","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","17","7","2","0","0"
"783","img/Floppy.png","40","image-keyboard-response","46","56258","0.0-9.0-0.18","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","18","6","2","0","0"
"772","img/Toiletpaper.png","40","image-keyboard-response","47","57042","0.0-9.0-0.19","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","19","5","2","0","0"
"957","img/Lightbulb.png","39","image-keyboard-response","48","58001","0.0-9.0-0.20","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","20","4","2","1","0"
"724","img/Ovenmitt.png","39","image-keyboard-response","49","58730","0.0-9.0-0.21","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0","W1920,H1040","1920 x 1080","true","","2","21","1","2","1","0"
